x,y,z
2,40,33
149,55,42
149,51,144
53,56,9
91,143,75
120,2,19
123,45,43
107,1,80
70,1,127
46,1,32
86,147,111
3,22,46
62,31,85
68,34,89
127,123,55
4,38,132
4,82,128
32,3,82
126,124,46
83,97,122
94,58,25
94,105,52
91,54,112
91,93,40
90,130,116
85,121,35
80,123,84
57,134,78
69,141,117
68,99,26
66,71,38
62,13,133
60,93,83
98,62,46
56,11,86
51,79,89
69,31,137
98,14,93
119,44,142
104,103,37
146,3,23
4,11,132
138,146,43
109,145,47
133,4,27
145,60,113
145,130,53
144,92,14
103,61,91
143,5,88
137,47,37
136,94,55
133,100,133
49,95,66
116,120,75
115,61,118
106,106,116
104,89,14
141,118,72
48,42,43
45,55,62
44,28,15
25,21,76
14,30,81
113,119,57
143,67,134
130,66,128
78,45,135
57,132,122
45,127,128
42,118,7
92,134,131
82,126,131
145,33,88
139,37,78
43,16,34
34,11,28
115,82,122
107,87,115
133,14,13
138,21,6
77,77,100
86,66,94
51,101,135
29,51,49
41,71,30
38,120,106
36,98,36
35,30,44
34,144,35
32,50,29
19,39,54
30,43,89
29,135,76
31,103,75
23,98,10
120,10,139
23,92,129
130,22,135
6,66,117
39,141,57
9,94,29
14,21,35
15,70,33
8,110,42
44,5,4
60,80,5
124,146,4
54,93,147
108,13,148
81,45,148
145,82,3
60,58,148
112,118,3
