x,y,z
146,149,23
1,144,108
32,148,82
150,113,8
136,1,2
149,74,146
102,122,11
120,148,19
135,2,92
107,147,80
70,147,127
46,147,32
32,125,71
86,111,89
97,86,88
100,126,73
100,6,53
134,143,11
117,8,42
81,121,50
135,143,64
4,119,124
117,85,19
81,136,40
84,138,83
46,133,104
38,132,63
101,111,22
117,145,6
92,116,144
69,123,64
54,136,116
85,135,8
68,114,131
24,111,107
27,125,19
28,51,126
39,104,14
47,109,59
57,116,31
26,141,73
130,118,5
102,111,5
56,101,4
41,146,3
86,72,148
97,124,3
140,35,3
107,53,3
