x,y,z
150,39,57
120,148,113
4,1,128
149,104,30
49,148,113
3,51,143
4,82,120
147,85,67
126,146,96
14,3,80
3,55,42
14,147,54
73,25,129
96,132,128
93,23,49
92,80,128
89,61,19
85,115,118
84,103,138
70,76,109
55,61,92
65,46,31
61,115,92
58,21,100
99,63,128
52,108,66
52,122,112
51,36,128
50,18,127
49,82,77
68,41,133
101,115,101
111,122,83
106,78,100
29,146,143
8,145,137
6,34,47
143,12,68
142,41,141
140,111,109
139,69,65
139,103,124
138,67,86
138,122,31
128,49,102
122,8,139
117,68,74
114,110,50
111,16,50
49,118,52
110,139,65
108,102,139
106,46,59
105,46,141
111,89,60
39,35,47
38,91,35
63,92,58
44,72,101
69,101,49
71,113,42
125,84,113
123,73,119
65,23,32
58,20,42
19,92,85
100,124,28
29,63,105
28,36,74
10,140,62
32,75,86
22,26,88
27,84,80
37,52,117
36,53,128
6,49,134
23,37,85
24,52,107
30,104,103
86,125,26
106,101,8
27,79,107
26,69,47
25,127,24
21,90,121
13,75,139
8,13,103
41,97,109
109,93,81
136,78,10
126,90,12
8,109,140
96,40,9
83,133,38
125,43,129
102,54,12
32,24,66
61,77,60
127,28,129
48,92,53
69,130,114
84,134,112
81,113,59
143,22,146
71,126,4
120,94,96
40,34,148
133,49,3
30,79,3
19,10,3
75,125,51
